Sample,Allele,Temperature,Tissue,Individual
MBSD_005.counts,P1,Cold,Liver,MBSD
MBSD_007.counts,P1,Cold,Liver,MBSD
MBSD_011.counts,P1,Cold,Liver,MBSD
MBSD_015.counts,P1,Cold,Liver,MBSD
MBSD_020.counts,P1,Cold,Liver,MBSD
MBSD_024.counts,P1,Cold,Liver,MBSD
MBSD_104.counts,P1,Cold,BAT,MBSD
MBSD_106.counts,P1,Cold,BAT,MBSD
MBSD_110.counts,P1,Cold,BAT,MBSD
MBSD_114.counts,P1,Cold,BAT,MBSD
MBSD_119.counts,P1,Cold,BAT,MBSD
MBSD_123.counts,P1,Cold,BAT,MBSD
MBSD_057.counts,P2,Cold,Liver,MBSD
MBSD_059.counts,P2,Cold,Liver,MBSD
MBSD_063.counts,P2,Cold,Liver,MBSD
MBSD_067.counts,P2,Cold,Liver,MBSD
MBSD_069.counts,P2,Cold,Liver,MBSD
MBSD_074.counts,P2,Cold,Liver,MBSD
MBSD_156.counts,P2,Cold,BAT,MBSD
MBSD_158.counts,P2,Cold,BAT,MBSD
MBSD_162.counts,P2,Cold,BAT,MBSD
MBSD_166.counts,P2,Cold,BAT,MBSD
MBSD_168.counts,P2,Cold,BAT,MBSD
MBSD_173.counts,P2,Cold,BAT,MBSD
X078_coldM_geno1,H1,Cold,Liver,X078
X083_coldM_geno1,H1,Cold,Liver,X083
X088_coldM_geno1,H1,Cold,Liver,X088
X093_coldM_geno1,H1,Cold,Liver,X093
X095_coldM_geno1,H1,Cold,Liver,X095
X099_coldM_geno1,H1,Cold,Liver,X099
X177_coldM_geno1,H1,Cold,BAT,X177
X182_coldM_geno1,H1,Cold,BAT,X182
X187_coldM_geno1,H1,Cold,BAT,X187
X192_coldM_geno1,H1,Cold,BAT,X192
X194_coldM_geno1,H1,Cold,BAT,X194
X198_coldM_geno1,H1,Cold,BAT,X198
X078_coldM_geno2,H2,Cold,Liver,X078
X083_coldM_geno2,H2,Cold,Liver,X083
X088_coldM_geno2,H2,Cold,Liver,X088
X093_coldM_geno2,H2,Cold,Liver,X093
X095_coldM_geno2,H2,Cold,Liver,X095
X099_coldM_geno2,H2,Cold,Liver,X099
X177_coldM_geno2,H2,Cold,BAT,X177
X182_coldM_geno2,H2,Cold,BAT,X182
X187_coldM_geno2,H2,Cold,BAT,X187
X192_coldM_geno2,H2,Cold,BAT,X192
X194_coldM_geno2,H2,Cold,BAT,X194
X198_coldM_geno2,H2,Cold,BAT,X198
