,Genes,beta_cis,beta_trans
ENSMUSG00000000056,ENSMUSG00000000056,0.8261908169583451,0.22798005392528534
ENSMUSG00000000058,ENSMUSG00000000058,0.43518732340553723,0.6913090597689588
ENSMUSG00000000078,ENSMUSG00000000078,0.9523640339087085,0.19236792915840178
ENSMUSG00000000088,ENSMUSG00000000088,0.8523733504378364,0.8813944706500922
ENSMUSG00000000120,ENSMUSG00000000120,0.7532923089744308,0.926499931034002
ENSMUSG00000000142,ENSMUSG00000000142,0.73796613523693,0.2625024876904726
ENSMUSG00000000148,ENSMUSG00000000148,0.9699816324527105,0.48156074392928583
ENSMUSG00000000149,ENSMUSG00000000149,0.5709182404024082,0.8999650940957227
ENSMUSG00000000184,ENSMUSG00000000184,0.18438768786529458,0.26553062739528094
ENSMUSG00000000194,ENSMUSG00000000194,0.7523803235553467,0.8183167824627615
ENSMUSG00000000253,ENSMUSG00000000253,7.099334148907401e-05,0.05554571568695253
ENSMUSG00000000275,ENSMUSG00000000275,0.2668426505968786,0.8165190207219394
ENSMUSG00000000276,ENSMUSG00000000276,0.661587787669351,0.6648539780612985
ENSMUSG00000000278,ENSMUSG00000000278,0.6858472797053103,0.4798270595088191
ENSMUSG00000000290,ENSMUSG00000000290,0.7936835103363281,0.6142497605586164
ENSMUSG00000000339,ENSMUSG00000000339,0.13567517722377892,0.6707235634001231
ENSMUSG00000000340,ENSMUSG00000000340,0.5638301255391437,0.4683812684991816
ENSMUSG00000000378,ENSMUSG00000000378,0.7978699607783332,0.29326929370177424
ENSMUSG00000000384,ENSMUSG00000000384,0.6682066934036515,0.9671581287351738
ENSMUSG00000000420,ENSMUSG00000000420,0.07898591790246685,0.9824867539992127
